City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Carnarvon,AU,2022-02-01 05:49:04,-24.8667,113.6333,87.87,58,24,18.41
1,Souillac,MU,2022-02-01 05:49:04,-20.5167,57.5167,83.35,78,75,14.97
2,Hermanus,ZA,2022-02-01 05:49:05,-34.4187,19.2345,76.89,70,5,3.38
3,Acapulco,MX,2022-02-01 05:49:05,16.8634,-99.8901,75.2,73,0,6.71
4,Nome,US,2022-02-01 05:49:05,64.5011,-165.4064,19.47,45,0,13.8
5,Bambous Virieux,MU,2022-02-01 05:49:06,-20.3428,57.7575,81.21,78,75,14.97
6,Bridlington,GB,2022-02-01 05:49:06,54.0831,-0.1919,50.18,88,100,25.28
7,Rikitea,PF,2022-02-01 05:49:06,-23.1203,-134.9692,78.26,66,53,8.34
8,Port Elizabeth,ZA,2022-02-01 05:45:55,-33.918,25.5701,74.1,94,20,1.14
9,Zaragoza,ES,2022-02-01 05:46:05,41.6561,-0.8773,45.05,72,20,11.99
10,Tuktoyaktuk,CA,2022-02-01 05:49:07,69.4541,-133.0374,-22.0,76,20,2.3
11,Rocha,UY,2022-02-01 05:45:27,-34.4833,-54.3333,54.14,74,1,2.04
12,Ushuaia,AR,2022-02-01 05:49:07,-54.8,-68.3,40.66,87,75,21.85
13,Cape Town,ZA,2022-02-01 05:48:12,-33.9258,18.4232,77.11,64,0,5.75
14,Sadiqabad,PK,2022-02-01 05:44:31,28.3062,70.1307,74.91,15,0,13.65
15,Albany,US,2022-02-01 05:49:07,42.6001,-73.9662,12.22,76,6,1.52
16,Kapaa,US,2022-02-01 05:49:08,22.0752,-159.319,73.38,79,75,5.75
17,Atuona,PF,2022-02-01 05:49:08,-9.8,-139.0333,78.96,74,11,21.92
18,Narsaq,GL,2022-02-01 05:49:08,60.9167,-46.05,25.02,99,90,3.29
19,Gao,ML,2022-02-01 05:49:08,16.6362,1.637,56.61,15,50,13.2
20,Saskylakh,RU,2022-02-01 05:49:09,71.9167,114.0833,-27.35,100,80,1.74
21,Lahij,YE,2022-02-01 05:49:09,13.1667,44.5833,71.87,70,18,4.97
22,Lander,US,2022-02-01 05:49:09,42.833,-108.7307,25.2,45,0,4.61
23,Busselton,AU,2022-02-01 05:49:10,-33.65,115.3333,81.09,29,0,8.75
24,Nayudupeta,IN,2022-02-01 05:49:10,13.9,79.9,85.08,57,18,4.83
25,Avarua,CK,2022-02-01 05:49:10,-21.2078,-159.775,78.85,83,100,10.36
26,Westport,US,2022-02-01 05:45:53,41.1415,-73.3579,22.8,71,0,4.61
27,Bluff,NZ,2022-02-01 05:49:11,-46.6,168.3333,61.43,87,100,9.48
28,Barrow,US,2022-02-01 05:49:09,71.2906,-156.7887,-12.98,77,100,5.75
29,Dudinka,RU,2022-02-01 05:49:11,69.4058,86.1778,4.62,92,99,14.76
30,Monrovia,LR,2022-02-01 05:49:11,6.3005,-10.7969,74.97,91,82,5.82
31,Jamestown,US,2022-02-01 05:49:12,42.097,-79.2353,24.71,68,0,5.75
32,Kazerun,IR,2022-02-01 05:49:12,29.6195,51.6541,51.49,88,100,7.94
33,Gravdal,NO,2022-02-01 05:49:12,68.1214,13.5031,31.89,37,0,17.27
34,Castro,BR,2022-02-01 05:49:12,-24.7911,-50.0119,60.55,91,4,1.48
35,Cherskiy,RU,2022-02-01 05:49:13,68.75,161.3,-5.28,87,100,6.29
36,Port Lincoln,AU,2022-02-01 05:45:07,-34.7333,135.8667,65.89,58,34,23.17
37,Promyshlennyy,RU,2022-02-01 05:49:13,67.5833,63.9167,1.81,98,100,6.4
38,Rio Gallegos,AR,2022-02-01 05:49:13,-51.6226,-69.2181,46.45,71,0,23.02
39,Korla,CN,2022-02-01 05:49:13,41.7597,86.1469,30.25,35,11,3.91
40,Aguilas,ES,2022-02-01 05:49:14,37.4063,-1.5829,54.05,47,0,9.95
41,Emerald,AU,2022-02-01 05:49:14,-23.5333,148.1667,100.54,28,40,5.75
42,Pisco,PE,2022-02-01 05:45:00,-13.7,-76.2167,69.85,83,20,9.22
43,Katsuura,JP,2022-02-01 05:49:14,35.1333,140.3,48.31,49,79,11.48
44,Porangatu,BR,2022-02-01 05:49:15,-13.4408,-49.1486,69.51,97,100,1.68
45,Tasiilaq,GL,2022-02-01 05:49:15,65.6145,-37.6368,8.76,78,94,8.05
46,Fortuna,US,2022-02-01 05:49:15,40.5982,-124.1573,46.92,81,100,3.0
47,Bredasdorp,ZA,2022-02-01 05:49:16,-34.5322,20.0403,74.28,88,2,9.22
48,Vaini,TO,2022-02-01 05:49:16,-21.2,-175.2,84.36,79,40,10.36
49,Krasnoarmeysk,RU,2022-02-01 05:49:16,51.0239,45.6969,33.08,90,99,15.97
50,Pevek,RU,2022-02-01 05:49:17,69.7008,170.3133,-16.42,96,91,0.98
51,Dikson,RU,2022-02-01 05:49:17,73.5069,80.5464,1.8,90,100,20.65
52,Krasnyy Yar,RU,2022-02-01 05:49:17,46.5331,48.3456,26.53,94,95,3.22
53,Mataura,NZ,2022-02-01 05:49:17,-46.1927,168.8643,74.79,65,100,2.3
54,Clyde River,CA,2022-02-01 05:49:18,70.4692,-68.5914,-18.17,63,100,4.61
55,Stokmarknes,NO,2022-02-01 05:49:18,68.5646,14.9108,31.96,40,0,11.5
56,Boa Vista,BR,2022-02-01 05:49:18,2.8197,-60.6733,78.78,73,0,9.22
57,Mackay,AU,2022-02-01 05:49:19,-21.15,149.2,87.78,58,75,13.8
58,East London,ZA,2022-02-01 05:49:19,-33.0153,27.9116,76.14,83,0,4.61
59,Luderitz,NA,2022-02-01 05:49:19,-26.6481,15.1594,64.92,91,58,7.2
60,Dingle,PH,2022-02-01 05:49:20,10.9995,122.6711,82.89,73,99,12.75
61,Danville,US,2022-02-01 05:49:01,36.586,-79.395,32.22,68,0,6.91
62,Beloha,MG,2022-02-01 05:49:20,-25.1667,45.05,83.61,44,81,11.25
63,Airai,TL,2022-02-01 05:49:20,-8.9266,125.4092,70.88,69,53,6.53
64,Saint-Philippe,RE,2022-02-01 05:49:20,-21.3585,55.7679,87.35,70,95,14.52
65,Hobart,AU,2022-02-01 05:49:21,-42.8794,147.3294,76.12,49,0,4.0
66,Saint Anthony,US,2022-02-01 05:45:06,45.0205,-93.218,34.48,76,0,5.01
67,Shinyanga,TZ,2022-02-01 05:49:21,-3.6667,33.4333,66.04,87,100,1.32
68,Butaritari,KI,2022-02-01 05:49:21,3.0707,172.7902,82.33,77,99,12.86
69,Kodiak,US,2022-02-01 05:49:22,57.79,-152.4072,35.11,87,100,17.27
70,Kankon,IN,2022-02-01 05:49:22,15.0167,74.0167,82.2,38,7,5.26
71,Aykino,RU,2022-02-01 05:49:22,62.2248,49.9922,5.34,98,77,6.35
72,Los Llanos De Aridane,ES,2022-02-01 05:49:22,28.6585,-17.9182,57.13,49,0,10.0
73,Bharatpur,IN,2022-02-01 05:49:23,27.2167,77.4833,70.5,41,0,5.77
74,Hope Mills,US,2022-02-01 05:44:34,34.9704,-78.9453,39.38,68,0,6.91
75,Upernavik,GL,2022-02-01 05:49:23,72.7868,-56.1549,-24.0,100,92,5.99
76,Bethel,US,2022-02-01 05:49:23,41.3712,-73.414,20.48,70,0,0.0
77,Okhotsk,RU,2022-02-01 05:49:23,59.3833,143.3,8.1,79,98,13.8
78,Hilo,US,2022-02-01 05:49:24,19.7297,-155.09,70.25,85,0,4.61
79,Chokurdakh,RU,2022-02-01 05:49:24,70.6333,147.9167,-17.81,97,100,2.59
80,Chuy,UY,2022-02-01 05:49:24,-33.6971,-53.4616,58.95,68,0,4.81
81,Charlestown,AU,2022-02-01 05:49:25,-32.95,151.6667,85.78,83,45,1.01
82,Punta Arenas,CL,2022-02-01 05:49:25,-53.15,-70.9167,46.51,71,40,25.32
83,Saint George,US,2022-02-01 05:47:06,37.1041,-113.5841,52.36,33,0,4.0
84,Alyangula,AU,2022-02-01 05:49:25,-13.8483,136.4192,93.07,62,67,12.66
85,Seoul,KR,2022-02-01 05:44:30,37.5683,126.9778,33.31,61,75,11.5
86,Staryy Nadym,RU,2022-02-01 05:49:26,65.6118,72.6842,-9.9,99,96,6.24
87,Kibaya,TZ,2022-02-01 05:49:26,-5.3,36.5667,60.22,98,100,2.44
88,Smithers,CA,2022-02-01 05:49:26,54.7804,-127.1743,21.52,93,20,0.0
89,Nikolskoye,RU,2022-02-01 05:49:27,59.7035,30.7861,24.69,97,99,3.98
90,Arraial Do Cabo,BR,2022-02-01 05:46:27,-22.9661,-42.0278,76.35,90,100,3.94
91,Pangnirtung,CA,2022-02-01 05:49:27,66.1451,-65.7125,-27.96,96,99,3.83
92,Victoria,HK,2022-02-01 05:48:58,22.2855,114.1577,56.32,89,100,3.0
93,Hambantota,LK,2022-02-01 05:49:27,6.1241,81.1185,88.14,66,20,10.36
94,San Juan,AR,2022-02-01 05:46:25,-31.5375,-68.5364,79.03,29,54,1.07
95,Ostrovnoy,RU,2022-02-01 05:49:28,68.0531,39.5131,15.15,96,100,3.53
96,Piranhas,BR,2022-02-01 05:49:28,-16.4269,-51.8222,70.45,99,100,3.51
97,Hithadhoo,MV,2022-02-01 05:49:28,-0.6,73.0833,82.63,72,12,11.68
98,Alihe,CN,2022-02-01 05:49:28,50.5667,123.7167,11.62,58,99,7.52
99,Nioro,GM,2022-02-01 05:49:29,13.35,-15.75,74.73,17,93,6.58
100,Iroquois Falls,CA,2022-02-01 05:49:29,48.7669,-80.6831,14.14,91,72,9.8
101,Woodward,US,2022-02-01 05:49:30,36.4337,-99.3904,54.63,55,0,16.11
102,Belaya Gora,RU,2022-02-01 05:49:30,68.5333,146.4167,-12.66,97,100,2.59
103,Khorramshahr,IR,2022-02-01 05:49:30,30.4397,48.1664,55.36,94,40,4.61
104,Pokrovsk,UA,2022-02-01 05:49:30,48.282,37.1758,26.65,90,65,10.36
